sample_idx,mode,architecture,model_id,xai_method,layer,true_label,pred_label,target_label,has_classifier,corr_pca_xai,soft_iou_pca_xai,lsas
82,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.5143954753875732,0.09369578957557678,-0.21034984290599823
83,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.5707539319992065,0.563220202922821,0.5669870674610138
84,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.20015518367290497,0.3037049472332001,0.2519300654530525
85,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.6735004186630249,0.44762304425239563,0.5605617314577103
86,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.46399468183517456,0.39280322194099426,0.4283989518880844
87,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.5410040616989136,0.2637263834476471,0.40236522257328033
88,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7627434134483337,0.4477026164531708,0.6052230149507523
89,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7712820172309875,0.22365091741085052,0.49746646732091904
90,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.1669706553220749,0.19543969631195068,0.1812051758170128
91,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.6863911747932434,0.4504370093345642,0.5684140920639038
92,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.4539376199245453,0.39947885274887085,0.42670823633670807
93,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7054135203361511,0.5040650367736816,0.6047392785549164
94,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.8351154923439026,0.39836931228637695,0.6167424023151398
95,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.736004650592804,0.641612708568573,0.6888086795806885
96,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.18949198722839355,0.462112694978714,0.13631035387516022
97,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.6472155451774597,0.36569011211395264,0.5064528286457062
98,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,-0.27992987632751465,0.5715106129646301,0.14579036831855774
99,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,1,-1,-1,False,0.7832266688346863,0.39066362380981445,0.5869451463222504
100,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.12649093568325043,0.28519290685653687,0.20584192126989365
101,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.656144917011261,0.4287632703781128,0.5424540936946869
102,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.6948357820510864,0.3668263852596283,0.5308310836553574
103,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.8025811314582825,0.42744770646095276,0.6150144189596176
104,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.7894783020019531,0.3876960277557373,0.5885871648788452
105,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,2,-1,-1,False,0.8918635845184326,0.37453240156173706,0.6331979930400848
